"","V1","V2","V3"
"","K11652","1","Bacillariophyta_K11652"
"","K10753","1","Bacillariophyta_K10753"
"","K00847","1","Bacillariophyta_K00847"
"","K14638","1","Bacillariophyta_K14638"
"","K12782","1","Bacillariophyta_K12782"
"","K10906","1","Bacillariophyta_K10906"
"","K12825","1","Bacillariophyta_K12825"
"","K10896","1","Bacillariophyta_K10896"
"","K14635","1","Bacillariophyta_K14635"
"","K10773","1","Bacillariophyta_K10773"
"","K04915","1","Bacillariophyta_K04915"
"","K00100","1","Bacillariophyta_K00100"
"","K03341","1","Bacillariophyta_K03341"
"","K03761","1","Bacillariophyta_K03761"
"","K03762","1","Bacillariophyta_K03762"
"","K00109","1","Bacillariophyta_K00109"
"","K03542","1","Bacillariophyta_K03542"
"","K08717","1","Bacillariophyta_K08717"
"","K17505","1","Bacillariophyta_K17505"
"","K07248","1","Bacillariophyta_K07248"
"","K07200","1","Bacillariophyta_K07200"
"","K01966","1","Bacillariophyta_K01966"
"","K12892","1","Bacillariophyta_K12892"
"","K10426","1","Bacillariophyta_K10426"
"","K00142","1","Bacillariophyta_K00142"
"","K10635","1","Bacillariophyta_K10635"
"","K10217","1","Bacillariophyta_K10217"
"","K07025","1","Bacillariophyta_K07025"
"","K14012","1","Bacillariophyta_K14012"
"","K00416","1","Bacillariophyta_K00416"
"","K12625","1","Bacillariophyta_K12625"
"","K03719","1","Bacillariophyta_K03719"
"","K03105","1","Bacillariophyta_K03105"
"","K01485","1","Bacillariophyta_K01485"
"","K05647","1","Bacillariophyta_K05647"
"","K09689","1","Bacillariophyta_K09689"
"","K07399","1","Bacillariophyta_K07399"
"","K00155","1","Bacillariophyta_K00155"
"","K02537","1","Bacillariophyta_K02537"
"","K10527","1","Bacillariophyta_K10527"
"","K01032","1","Bacillariophyta_K01032"
"","K14813","1","Bacillariophyta_K14813"
"","K17656","1","Bacillariophyta_K17656"
"","K05728","1","Bacillariophyta_K05728"
"","K13416","1","Bacillariophyta_K13416"
"","K10558","1","Bacillariophyta_K10558"
"","K03638","1","Bacillariophyta_K03638"
"","K14700","1","Bacillariophyta_K14700"
"","K08691","1","Bacillariophyta_K08691"
"","K08331","1","Bacillariophyta_K08331"
"","K15134","1","Bacillariophyta_K15134"
"","K12620","1","Bacillariophyta_K12620"
"","K09634","1","Bacillariophyta_K09634"
"","K00064","1","Bacillariophyta_K00064"
"","K04727","1","Bacillariophyta_K04727"
"","K15396","1","Bacillariophyta_K15396"
"","K00993","1","Bacillariophyta_K00993"
"","K15511","1","Bacillariophyta_K15511"
"","K02262","1","Bacillariophyta_K02262"
"","K14400","1","Bacillariophyta_K14400"
"","K03525","1","Bacillariophyta_K03525"
"","K03014","1","Bacillariophyta_K03014"
"","K13712","1","Bacillariophyta_K13712"
"","K09392","1","Bacillariophyta_K09392"
"","K09616","1","Bacillariophyta_K09616"
"","K01236","1","Bacillariophyta_K01236"
"","K15033","1","Bacillariophyta_K15033"
"","K01313","1","Bacillariophyta_K01313"
"","K00471","1","Bacillariophyta_K00471"
"","K15443","1","Bacillariophyta_K15443"
"","K08906","1","Bacillariophyta_K08906"
"","K06580","1","Bacillariophyta_K06580"
"","K13130","1","Bacillariophyta_K13130"
"","K07154","1","Bacillariophyta_K07154"
"","K01666","1","Bacillariophyta_K01666"
"","K13205","1","Bacillariophyta_K13205"
"","K07964","1","Bacillariophyta_K07964"
"","K04753","1","Bacillariophyta_K04753"
"","K02085","1","Bacillariophyta_K02085"
"","K13735","1","Bacillariophyta_K13735"
"","K01829","1","Bacillariophyta_K01829"
"","K04418","1","Bacillariophyta_K04418"
"","K14126","1","Bacillariophyta_K14126"
"","K00449","1","Bacillariophyta_K00449"
"","K03823","1","Bacillariophyta_K03823"
"","K11975","1","Bacillariophyta_K11975"
"","K04637","1","Bacillariophyta_K04637"
"","K17468","1","Bacillariophyta_K17468"
"","K15413","1","Bacillariophyta_K15413"
"","K01777","1","Bacillariophyta_K01777"
"","K12838","1","Bacillariophyta_K12838"
"","K01467","1","Bacillariophyta_K01467"
"","K07107","1","Bacillariophyta_K07107"
"","K00196","1","Bacillariophyta_K00196"
"","K04014","1","Bacillariophyta_K04014"
"","K08169","1","Bacillariophyta_K08169"
"","K07795","1","Bacillariophyta_K07795"
"","K13244","1","Bacillariophyta_K13244"
"","K14051","1","Bacillariophyta_K14051"
"","K03745","1","Bacillariophyta_K03745"
"","K09641","1","Bacillariophyta_K09641"
"","K05800","1","Bacillariophyta_K05800"
"","K03814","1","Bacillariophyta_K03814"
"","K07056","1","Bacillariophyta_K07056"
"","K14467","1","Bacillariophyta_K14467"
"","K17486","1","Bacillariophyta_K17486"
"","K01457","1","Bacillariophyta_K01457"
"","K07684","1","Bacillariophyta_K07684"
"","K11624","1","Bacillariophyta_K11624"
"","K00163","1","Bacillariophyta_K00163"
"","K07794","1","Bacillariophyta_K07794"
"","K15384","1","Bacillariophyta_K15384"
"","K14851","1","Bacillariophyta_K14851"
"","K17360","1","Bacillariophyta_K17360"
"","K12749","1","Bacillariophyta_K12749"
"","K04853","1","Bacillariophyta_K04853"
"","K14265","1","Bacillariophyta_K14265"
"","K01155","1","Bacillariophyta_K01155"
"","K14394","1","Bacillariophyta_K14394"
"","K10912","1","Bacillariophyta_K10912"
"","K15892","1","Bacillariophyta_K15892"
"","K06096","1","Bacillariophyta_K06096"
"","K13691","1","Bacillariophyta_K13691"
"","K12452","1","Bacillariophyta_K12452"
"","K14258","1","Bacillariophyta_K14258"
"","K15670","1","Bacillariophyta_K15670"
"","K06921","1","Bacillariophyta_K06921"
"","K03815","1","Bacillariophyta_K03815"
"","K11065","1","Bacillariophyta_K11065"
"","K13924","1","Bicosoecida_K13924"
"","K02213","1","Bicosoecida_K02213"
"","K14781","1","Bicosoecida_K14781"
"","K05641","1","Bicosoecida_K05641"
"","K03316","1","Bicosoecida_K03316"
"","K17820","1","Bicosoecida_K17820"
"","K13960","1","Bicosoecida_K13960"
"","K12829","1","Bicosoecida_K12829"
"","K14163","1","Bicosoecida_K14163"
"","K12486","1","Bicosoecida_K12486"
"","K12489","1","Bicosoecida_K12489"
"","K12491","1","Bicosoecida_K12491"
"","K09191","1","Bicosoecida_K09191"
"","K01563","1","Bicosoecida_K01563"
"","K12541","1","Bicosoecida_K12541"
"","K02123","1","Bicosoecida_K02123"
"","K10249","1","Bicosoecida_K10249"
"","K01177","1","Bicosoecida_K01177"
"","K00981","1","Bicosoecida_K00981"
"","K14379","1","Bicosoecida_K14379"
"","K08658","1","Bicosoecida_K08658"
"","K12319","1","Bicosoecida_K12319"
"","K10380","1","Bicosoecida_K10380"
"","K16726","1","Bicosoecida_K16726"
"","K07004","1","Bicosoecida_K07004"
"","K00143","1","Bicosoecida_K00143"
"","K04789","1","Bicosoecida_K04789"
"","K04792","1","Bicosoecida_K04792"
"","K15662","1","Bicosoecida_K15662"
"","K15663","1","Bicosoecida_K15663"
"","K15667","1","Bicosoecida_K15667"
"","K00083","1","Bicosoecida_K00083"
"","K14775","1","Bicosoecida_K14775"
"","K07894","1","Bicosoecida_K07894"
"","K04638","1","Bicosoecida_K04638"
"","K12349","1","Bicosoecida_K12349"
"","K02326","1","Bicosoecida_K02326"
"","K05099","1","Bicosoecida_K05099"
"","K02971","1","Bicosoecida_K02971"
"","K13220","1","Bicosoecida_K13220"
"","K13996","1","Bicosoecida_K13996"
"","K00838","1","Bicosoecida_K00838"
"","K11865","1","Bicosoecida_K11865"
"","K10695","1","Cercozoa_K10695"
"","K07963","1","Cercozoa_K07963"
"","K07977","1","Cercozoa_K07977"
"","K00816","1","Cercozoa_K00816"
"","K14155","1","Cercozoa_K14155"
"","K14267","1","Cercozoa_K14267"
"","K14287","1","Cercozoa_K14287"
"","K12481","1","Cercozoa_K12481"
"","K13148","1","Cercozoa_K13148"
"","K14403","1","Cercozoa_K14403"
"","K02999","1","Cercozoa_K02999"
"","K15001","1","Cercozoa_K15001"
"","K15007","1","Cercozoa_K15007"
"","K06694","1","Cercozoa_K06694"
"","K01207","1","Cercozoa_K01207"
"","K06187","1","Cercozoa_K06187"
"","K11406","1","Cercozoa_K11406"
"","K13296","1","Cercozoa_K13296"
"","K13761","1","Cercozoa_K13761"
"","K14699","1","Cercozoa_K14699"
"","K05724","1","Cercozoa_K05724"
"","K03013","1","Cercozoa_K03013"
"","K13507","1","Cercozoa_K13507"
"","K10349","1","Cercozoa_K10349"
"","K03165","1","Cercozoa_K03165"
"","K12847","1","Cercozoa_K12847"
"","K16296","1","Cercozoa_K16296"
"","K12166","1","Cercozoa_K12166"
"","K11340","1","Cercozoa_K11340"
"","K07679","1","Cercozoa_K07679"
"","K11400","1","Cercozoa_K11400"
"","K09206","1","Cercozoa_K09206"
"","K10495","1","Cercozoa_K10495"
"","K10513","1","Cercozoa_K10513"
"","K11715","1","Cercozoa_K11715"
"","K11172","1","Cercozoa_K11172"
"","K11339","1","Cercozoa_K11339"
"","K12423","1","Cercozoa_K12423"
"","K11433","1","Cercozoa_K11433"
"","K01154","1","Cercozoa_K01154"
"","K05989","1","Cercozoa_K05989"
"","K03406","1","Cercozoa_K03406"
"","K08647","1","Cercozoa_K08647"
"","K08287","1","Chlorarachniophyta_K08287"
"","K10779","1","Chlorarachniophyta_K10779"
"","K10875","1","Chlorarachniophyta_K10875"
"","K10876","1","Chlorarachniophyta_K10876"
"","K01131","1","Chlorarachniophyta_K01131"
"","K01138","1","Chlorarachniophyta_K01138"
"","K12374","1","Chlorarachniophyta_K12374"
"","K08991","1","Chlorarachniophyta_K08991"
"","K10401","1","Chlorarachniophyta_K10401"
"","K11126","1","Chlorarachniophyta_K11126"
"","K01487","1","Chlorarachniophyta_K01487"
"","K01506","1","Chlorarachniophyta_K01506"
"","K04075","1","Chlorarachniophyta_K04075"
"","K11991","1","Chlorarachniophyta_K11991"
"","K04348","1","Chlorarachniophyta_K04348"
"","K02193","1","Chlorarachniophyta_K02193"
"","K12608","1","Chlorarachniophyta_K12608"
"","K01950","1","Chlorarachniophyta_K01950"
"","K15449","1","Chlorarachniophyta_K15449"
"","K14569","1","Chlorarachniophyta_K14569"
"","K14512","1","Chlorarachniophyta_K14512"
"","K10951","1","Chlorarachniophyta_K10951"
"","K14425","1","Chlorarachniophyta_K14425"
"","K14426","1","Chlorarachniophyta_K14426"
"","K14429","1","Chlorarachniophyta_K14429"
"","K07021","1","Chlorarachniophyta_K07021"
"","K04406","1","Chlorarachniophyta_K04406"
"","K04414","1","Chlorarachniophyta_K04414"
"","K04424","1","Chlorarachniophyta_K04424"
"","K00573","1","Chlorophyta_K00573"
"","K07297","1","Chlorophyta_K07297"
"","K15260","1","Chlorophyta_K15260"
"","K14778","1","Chlorophyta_K14778"
"","K05683","1","Chlorophyta_K05683"
"","K13103","1","Chlorophyta_K13103"
"","K13162","1","Chlorophyta_K13162"
"","K01526","1","Chlorophyta_K01526"
"","K08815","1","Chlorophyta_K08815"
"","K12814","1","Chlorophyta_K12814"
"","K10838","1","Chlorophyta_K10838"
"","K16299","1","Chlorophyta_K16299"
"","K08734","1","Chlorophyta_K08734"
"","K12471","1","Chlorophyta_K12471"
"","K08244","1","Chlorophyta_K08244"
"","K11424","1","Chlorophyta_K11424"
"","K14794","1","Chlorophyta_K14794"
"","K05649","1","Chlorophyta_K05649"
"","K05651","1","Chlorophyta_K05651"
"","K01376","1","Chlorophyta_K01376"
"","K08303","1","Chlorophyta_K08303"
"","K01881","1","Chlorophyta_K01881"
"","K07497","1","Chlorophyta_K07497"
"","K12115","1","Chlorophyta_K12115"
"","K12116","1","Chlorophyta_K12116"
"","K00522","1","Chlorophyta_K00522"
"","K14676","1","Chlorophyta_K14676"
"","K15175","1","Chlorophyta_K15175"
"","K07199","1","Chlorophyta_K07199"
"","K15174","1","Chlorophyta_K15174"
"","K09913","1","Chlorophyta_K09913"
"","K13538","1","Chlorophyta_K13538"
"","K02543","1","Chlorophyta_K02543"
"","K11701","1","Chlorophyta_K11701"
"","K04852","1","Chlorophyta_K04852"
"","K01046","1","Chlorophyta_K01046"
"","K11169","1","Chlorophyta_K11169"
"","K01115","1","Chlorophyta_K01115"
"","K14776","1","Chlorophyta_K14776"
"","K05679","1","Chlorophyta_K05679"
"","K10423","1","Chlorophyta_K10423"
"","K03497","1","Chlorophyta_K03497"
"","K04103","1","Chlorophyta_K04103"
"","K03136","1","Chlorophyta_K03136"
"","K01771","1","Chlorophyta_K01771"
"","K01126","1","Chlorophyta_K01126"
"","K11984","1","Chlorophyta_K11984"
"","K01082","1","Chlorophyta_K01082"
"","K15422","1","Chlorophyta_K15422"
"","K10325","1","Chlorophyta_K10325"
"","K15463","1","Chlorophyta_K15463"
"","K01493","1","Chlorophyta_K01493"
"","K14589","1","Chlorophyta_K14589"
"","K14686","1","Chlorophyta_K14686"
"","K01918","1","Chlorophyta_K01918"
"","K00766","1","Chlorophyta_K00766"
"","K14801","1","Chlorophyta_K14801"
"","K03940","1","Chlorophyta_K03940"
"","K00225","1","Chlorophyta_K00225"
"","K00028","1","Chlorophyta_K00028"
"","K07567","1","Chlorophyta_K07567"
"","K00863","1","Chlorophyta_K00863"
"","K05878","1","Chlorophyta_K05878"
"","K14788","1","Chlorophyta_K14788"
"","K13125","1","Chlorophyta_K13125"
"","K11129","1","Chlorophyta_K11129"
"","K09763","1","Chlorophyta_K09763"
"","K11092","1","Chlorophyta_K11092"
"","K13912","1","Chlorophyta_K13912"
"","K03362","1","Chlorophyta_K03362"
"","K05633","1","Chlorophyta_K05633"
"","K03188","1","Chlorophyta_K03188"
"","K15659","1","Chlorophyta_K15659"
"","K10575","1","Chlorophyta_K10575"
"","K09508","1","Chlorophyta_K09508"
"","K03185","1","Chlorophyta_K03185"
"","K01307","1","Chlorophyta_K01307"
"","K09986","1","Chlorophyta_K09986"
"","K17541","1","Chlorophyta_K17541"
"","K00485","1","Chlorophyta_K00485"
"","K04920","1","Chlorophyta_K04920"
"","K03190","1","Chlorophyta_K03190"
"","K12600","1","Chlorophyta_K12600"
"","K00598","1","Chlorophyta_K00598"
"","K15676","1","Chlorophyta_K15676"
"","K12621","1","Chlorophyta_K12621"
"","K15716","1","Chlorophyta_K15716"
"","K05756","1","Chlorophyta_K05756"
"","K02564","1","Chlorophyta_K02564"
"","K03636","1","Chlorophyta_K03636"
"","K11271","1","Chlorophyta_K11271"
"","K06236","1","Chlorophyta_K06236"
"","K08131","1","Chlorophyta_K08131"
"","K07925","1","Chlorophyta_K07925"
"","K14729","1","Chlorophyta_K14729"
"","K12417","1","Chlorophyta_K12417"
"","K11319","1","Chlorophyta_K11319"
"","K00805","1","Chlorophyta_K00805"
"","K13242","1","Chlorophyta_K13242"
"","K15304","1","Chlorophyta_K15304"
"","K01762","1","Chlorophyta_K01762"
"","K15356","1","Chlorophyta_K15356"
"","K08511","1","Chlorophyta_K08511"
"","K17527","1","Chlorophyta_K17527"
"","K00175","1","Chlorophyta_K00175"
"","K15047","1","Chlorophyta_K15047"
"","K12504","1","Chlorophyta_K12504"
"","K07479","1","Chlorophyta_K07479"
"","K07102","1","Chlorophyta_K07102"
"","K13165","1","Chlorophyta_K13165"
"","K05738","1","Chlorophyta_K05738"
"","K00586","1","Chlorophyta_K00586"
"","K10264","1","Chlorophyta_K10264"
"","K11354","1","Chlorophyta_K11354"
"","K04986","1","Chlorophyta_K04986"
"","K08151","1","Chlorophyta_K08151"
"","K09705","1","Chlorophyta_K09705"
"","K17240","1","Chlorophyta_K17240"
"","K01568","1","Chlorophyta_K01568"
"","K08617","1","Chlorophyta_K08617"
"","K11344","1","Chlorophyta_K11344"
"","K09640","1","Chlorophyta_K09640"
"","K09407","1","Chlorophyta_K09407"
"","K05037","1","Chlorophyta_K05037"
"","K14736","1","Chlorophyta_K14736"
"","K07968","1","Chlorophyta_K07968"
"","K07862","1","Chlorophyta_K07862"
"","K08981","1","Chlorophyta_K08981"
"","K13019","1","Chlorophyta_K13019"
"","K12988","1","Chlorophyta_K12988"
"","K00932","1","Chlorophyta_K00932"
"","K07576","1","Chlorophyta_K07576"
"","K00039","1","Chlorophyta_K00039"
"","K04210","1","Chlorophyta_K04210"
"","K01250","1","Chlorophyta_K01250"
"","K10860","1","Chlorophyta_K10860"
"","K09509","1","Chlorophyta_K09509"
"","K07041","1","Chlorophyta_K07041"
"","K07669","1","Chlorophyta_K07669"
"","K03534","1","Chlorophyta_K03534"
"","K11928","1","Chlorophyta_K11928"
"","K14387","1","Chlorophyta_K14387"
"","K16833","1","Chlorophyta_K16833"
"","K12995","1","Chlorophyta_K12995"
"","K11730","1","Cryptophyta_K11730"
"","K04728","1","Cryptophyta_K04728"
"","K04849","1","Cryptophyta_K04849"
"","K08635","1","Cryptophyta_K08635"
"","K14809","1","Cryptophyta_K14809"
"","K04649","1","Cryptophyta_K04649"
"","K00939","1","Cryptophyta_K00939"
"","K14326","1","Cryptophyta_K14326"
"","K17550","1","Cryptophyta_K17550"
"","K06683","1","Cryptophyta_K06683"
"","K14819","1","Cryptophyta_K14819"
"","K00597","1","Cryptophyta_K00597"
"","K14338","1","Cryptophyta_K14338"
"","K16608","1","Cryptophyta_K16608"
"","K08817","1","Cryptophyta_K08817"
"","K07316","1","Cryptophyta_K07316"
"","K02503","1","Cryptophyta_K02503"
"","K03723","1","Cryptophyta_K03723"
"","K12872","1","Cryptophyta_K12872"
"","K07270","1","Cryptophyta_K07270"
"","K15372","1","Cryptophyta_K15372"
"","K12502","1","Cryptophyta_K12502"
"","K02072","1","Cryptophyta_K02072"
"","K11121","1","Cryptophyta_K11121"
"","K08294","1","Cryptophyta_K08294"
"","K13409","1","Cryptophyta_K13409"
"","K10819","1","Cryptophyta_K10819"
"","K00967","1","Cryptophyta_K00967"
"","K08495","1","Cryptophyta_K08495"
"","K13575","1","Cryptophyta_K13575"
"","K13861","1","Cryptophyta_K13861"
"","K05982","1","Cryptophyta_K05982"
"","K15713","1","Cryptophyta_K15713"
"","K07240","1","Cryptophyta_K07240"
"","K03152","1","Cryptophyta_K03152"
"","K11971","1","Cryptophyta_K11971"
"","K04459","1","Cryptophyta_K04459"
"","K12271","1","Cryptophyta_K12271"
