"","taxon","kegg_KO","signal_ID","cluster","silhouette_width","neighbor_cluster","signal","name_short","name","pathway","taxon_group","notes"
"49","Actinobacteria","K03696",2124,"Afternoon",0.249315751011572,"Dusk","Actinobacteria_K03696","clpC"," ATP-dependent Clp protease ATP-binding subunit ClpC","Cell cycle","prokaryotic_non_photoauto",""
"50","Actinobacteria","K04488",2467,"Afternoon",0.213049631487157,"Morning","Actinobacteria_K04488","iscU, nifU"," nitrogen fixation protein NifU and related proteins","Nitrogen metabolism","prokaryotic_non_photoauto",""
"51","Actinobacteria","K09118",2262,"Afternoon",0.208873179480314,"Morning","Actinobacteria_K09118","K09118"," uncharacterized protein","[]","prokaryotic_non_photoauto",""
"52","Actinobacteria","K03522",2450,"Afternoon",0.0306669002897813,"Morning","Actinobacteria_K03522","fixB, etfA"," electron transfer flavoprotein alpha subunit","[]","prokaryotic_non_photoauto",""
"53","Actinobacteria","K00128",2136,"Afternoon",-0.0115545847866027,"Dusk","Actinobacteria_K00128","ALDH"," aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]","Glycolysis / Gluconeogenesis","prokaryotic_non_photoauto",""
"54","Actinobacteria","K02717",2371,"Afternoon",0.0484739439031177,"Morning","Actinobacteria_K02717","psbP"," photosystem II oxygen-evolving enhancer protein 2","Photosynthesis","prokaryotic_non_photoauto",""
"55","Bacillariophyta","K07056",4045,"Dusk",0.357552451870643,"Afternoon","Bacillariophyta_K07056",NA,NA,NA,"eukaryotic",""
"56","Bacillariophyta","K12892",4029,"Dusk",0.268083640653123,"Night","Bacillariophyta_K12892",NA,NA,NA,"eukaryotic",""
"57","Bacillariophyta","K03065",1480,"Afternoon",0.144826083943822,"Dusk","Bacillariophyta_K03065",NA,NA,NA,"eukaryotic",""
"58","Bacillariophyta","K12452",2838,"Morning",0.121249034420073,"Afternoon","Bacillariophyta_K12452",NA,NA,NA,"eukaryotic",""
"59","Bacillariophyta","K00616",1509,"Afternoon",0.0108223130648427,"Morning","Bacillariophyta_K00616","E2.2.1.2, talA, talB"," transaldolase [EC:2.2.1.2]","Pentose phosphate pathway","eukaryotic",""
"60","Bacillariophyta","K03720",1531,"Afternoon",0.111821334262523,"Dusk","Bacillariophyta_K03720",NA,NA,NA,"eukaryotic",""
"61","Bacillariophyta","K10906",4026,"Dusk",0.344961387241157,"Afternoon","Bacillariophyta_K10906",NA,NA,NA,"eukaryotic",""
"62","Bacillariophyta","K00222",100,"Night",0.0795844564721586,"Dusk","Bacillariophyta_K00222",NA,NA,NA,"eukaryotic",""
"63","Bacillariophyta","K03525",180,"Night",0.0799276338895776,"Morning","Bacillariophyta_K03525",NA,NA,NA,"eukaryotic",""
"64","Bacillariophyta","K00219",2694,"Morning",0.230937526313808,"Night","Bacillariophyta_K00219","fadH"," 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]","[]","eukaryotic",""
"65","Bacillariophyta","K01696",1485,"Afternoon",0.0854215793502167,"Morning","Bacillariophyta_K01696","trpB"," tryptophan synthase beta chain [EC:4.2.1.20]","Phenylalanine, tyrosine and tryptophan biosynthesis","eukaryotic",""
"66","Bacillariophyta","K03522",1544,"Afternoon",0.127185775507169,"Dusk","Bacillariophyta_K03522","fixB, etfA"," electron transfer flavoprotein alpha subunit","[]","eukaryotic",""
"67","Bacillariophyta","K00324",3986,"Dusk",0.328128191557258,"Afternoon","Bacillariophyta_K00324","pntA"," H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]","Nicotinate and nicotinamide metabolism","eukaryotic",""
"68","Bacillariophyta","K12524",90,"Night",0.207797434200187,"Dusk","Bacillariophyta_K12524",NA,NA,NA,"eukaryotic",""
"69","Bacillariophyta","K03921",2654,"Morning",0.245836768541579,"Afternoon","Bacillariophyta_K03921",NA,NA,NA,"eukaryotic",""
"70","Bacillariophyta","K00142",1548,"Afternoon",0.153107118272394,"Dusk","Bacillariophyta_K00142",NA,NA,NA,"eukaryotic",""
"71","Bacillariophyta","K01032",2792,"Morning",0.0359899808561906,"Afternoon","Bacillariophyta_K01032",NA,NA,NA,"eukaryotic",""
"72","Bacillariophyta","K02114",2786,"Morning",0.0559919264768605,"Night","Bacillariophyta_K02114","ATPF1E, atpC"," F-type H+-transporting ATPase subunit epsilon","Oxidative phosphorylation","eukaryotic",""
"73","Bacillariophyta","K15747",138,"Night",0.094048787711773,"Morning","Bacillariophyta_K15747",NA,NA,NA,"eukaryotic",""
"74","Bacillariophyta","K11838",2659,"Morning",0.180134658940295,"Night","Bacillariophyta_K11838",NA,NA,NA,"eukaryotic",""
"75","Bacillariophyta","K01377",2742,"Morning",0.0239440247061568,"Afternoon","Bacillariophyta_K01377",NA,NA,NA,"eukaryotic",""
"76","Bacillariophyta","K14851",2832,"Morning",0.206414296265584,"Night","Bacillariophyta_K14851",NA,NA,NA,"eukaryotic",""
"77","Bacillariophyta","K01749",2649,"Morning",0.125459776636955,"Afternoon","Bacillariophyta_K01749","hemC, HMBS"," hydroxymethylbilane synthase [EC:2.5.1.61]","Porphyrin and chlorophyll metabolism","eukaryotic",""
"78","Bacillariophyta","K02960",4008,"Dusk",0.251429418135069,"Night","Bacillariophyta_K02960",NA,NA,NA,"eukaryotic",""
"79","Bacillariophyta","K00155",2790,"Morning",0.105617292268655,"Night","Bacillariophyta_K00155",NA,NA,NA,"eukaryotic",""
"80","Bacillariophyta","K01695",1484,"Afternoon",0.0514376944387645,"Morning","Bacillariophyta_K01695","trpA"," tryptophan synthase alpha chain [EC:4.2.1.20]","Phenylalanine, tyrosine and tryptophan biosynthesis","eukaryotic",""
"81","Bacillariophyta","K01807",105,"Night",0.0456015601146211,"Morning","Bacillariophyta_K01807","rpiA"," ribose 5-phosphate isomerase A [EC:5.3.1.6]","Pentose phosphate pathway","eukaryotic",""
"82","Bacillariophyta","K01448",163,"Night",0.174627685142296,"Dusk","Bacillariophyta_K01448","amiABC"," N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]","[]","eukaryotic",""
"83","Bacillariophyta","K12451",1555,"Afternoon",0.153836362028224,"Morning","Bacillariophyta_K12451",NA,NA,NA,"eukaryotic",""
"84","Bacillariophyta","K00239",1457,"Afternoon",0.291966408097121,"Dusk","Bacillariophyta_K00239","sdhA, frdA"," succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]","Citrate cycle (TCA cycle)","eukaryotic",""
"85","Bacillariophyta","K02976",4033,"Dusk",0.14627164669969,"Night","Bacillariophyta_K02976",NA,NA,NA,"eukaryotic",""
"86","Bacillariophyta","K15987",2650,"Morning",0.263871382934219,"Afternoon","Bacillariophyta_K15987","hppA"," K(+)-stimulated pyrophosphate-energized sodium pump","Oxidative phosphorylation","eukaryotic",""
"87","Bacillariophyta","K03063",1499,"Afternoon",0.106479985730493,"Dusk","Bacillariophyta_K03063",NA,NA,NA,"eukaryotic",""
"88","Bacillariophyta","K01485",2784,"Morning",0.10901129594543,"Afternoon","Bacillariophyta_K01485","codA"," cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21]","Arginine and proline metabolism","eukaryotic",""
"89","Bacillariophyta","K00600",2684,"Morning",0.0739087738912122,"Afternoon","Bacillariophyta_K00600","glyA, SHMT"," glycine hydroxymethyltransferase [EC:2.1.2.1]","Glycine, serine and threonine metabolism","eukaryotic",""
"90","Bacillariophyta","K00384",1450,"Afternoon",0.170092219563405,"Morning","Bacillariophyta_K00384","trxB, TRR"," thioredoxin reductase (NADPH) [EC:1.8.1.9]","Cysteine and methionine metabolism","eukaryotic",""
"91","Bacillariophyta","K00449",1565,"Afternoon",-0.0214095313781467,"Dusk","Bacillariophyta_K00449",NA,NA,NA,"eukaryotic",""
"92","Bacillariophyta","K01381",2638,"Morning",0.0934708207857765,"Afternoon","Bacillariophyta_K01381",NA,NA,NA,"eukaryotic",""
"93","Bacillariophyta","K08917",2794,"Morning",0.0830464574283177,"Afternoon","Bacillariophyta_K08917",NA,NA,NA,"eukaryotic",""
"94","Bacillariophyta","K00100",149,"Night",0.0914362262677537,"Morning","Bacillariophyta_K00100","bdhAB"," butanol dehydrogenase [EC:1.1.1.-]","Butanoate metabolism","eukaryotic",""
"95","Bacillariophyta","K01312",74,"Night",0.281480535141272,"Morning","Bacillariophyta_K01312",NA,NA,NA,"eukaryotic",""
"96","Bacillariophyta","K08334",2736,"Morning",0.197008639061069,"Afternoon","Bacillariophyta_K08334",NA,NA,NA,"eukaryotic",""
"97","Bacillariophyta","K01803",1490,"Afternoon",-0.00710598742514006,"Morning","Bacillariophyta_K01803","TPI, tpiA"," triosephosphate isomerase (TIM) [EC:5.3.1.1]","Glycolysis / Gluconeogenesis","eukaryotic",""
"98","Bacillariophyta","K02735",1545,"Afternoon",0.11376226110134,"Dusk","Bacillariophyta_K02735",NA,NA,NA,"eukaryotic",""
"99","Bacillariophyta","K00471",2810,"Morning",0.106004265522985,"Night","Bacillariophyta_K00471","E1.14.11.1"," gamma-butyrobetaine dioxygenase [EC:1.14.11.1]","Lysine degradation","eukaryotic",""
"100","Bacillariophyta","K00248",1506,"Afternoon",0.128552432915101,"Morning","Bacillariophyta_K00248",NA,NA,NA,"eukaryotic",""
"101","Bacillariophyta","K09567",3977,"Dusk",0.266111465874926,"Afternoon","Bacillariophyta_K09567",NA,NA,NA,"eukaryotic",""
"102","Bacillariophyta","K01792",76,"Night",0.157586686208311,"Morning","Bacillariophyta_K01792",NA,NA,NA,"eukaryotic",""
"103","Bacillariophyta","K02727",4021,"Dusk",0.0444882135204242,"Afternoon","Bacillariophyta_K02727",NA,NA,NA,"eukaryotic",""
"104","Bacillariophyta","K01100",2753,"Morning",0.305424458899337,"Night","Bacillariophyta_K01100",NA,NA,NA,"eukaryotic",""
"105","Bacillariophyta","K15670",2839,"Morning",0.140696620308625,"Afternoon","Bacillariophyta_K15670",NA,NA,NA,"eukaryotic",""
"106","Bacillariophyta","K03452",2745,"Morning",0.0650152246418555,"Afternoon","Bacillariophyta_K03452",NA,NA,NA,"eukaryotic",""
"107","Bacillariophyta","K08331",174,"Night",0.0404646574250084,"Dusk","Bacillariophyta_K08331",NA,NA,NA,"eukaryotic",""
"108","Bacillariophyta","K00507",2697,"Morning",0.0820897547180551,"Afternoon","Bacillariophyta_K00507","SCD, desC"," stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]","Biosynthesis of unsaturated fatty acids","eukaryotic",""
"109","Bacillariophyta","K00249",1495,"Afternoon",0.0116367326265909,"Morning","Bacillariophyta_K00249","ACADM, acd"," acyl-CoA dehydrogenase [EC:1.3.8.7]","Fatty acid degradation","eukaryotic",""
"110","Bacillariophyta","K06221",2678,"Morning",0.24204222425685,"Night","Bacillariophyta_K06221",NA,NA,NA,"eukaryotic",""
"111","Bacillariophyta","K01694",1483,"Afternoon",0.0567714893269077,"Morning","Bacillariophyta_K01694",NA,NA,NA,"eukaryotic",""
"112","Bacillariophyta","K14700",172,"Night",0.0265779406066459,"Dusk","Bacillariophyta_K14700",NA,NA,NA,"eukaryotic",""
"113","Bacillariophyta","K02637",1564,"Afternoon",0.229870287748472,"Dusk","Bacillariophyta_K02637","petD"," cytochrome b6-f complex subunit 4","Photosynthesis","eukaryotic",""
"114","Bacillariophyta","K09584",1487,"Afternoon",0.0947684298745998,"Dusk","Bacillariophyta_K09584",NA,NA,NA,"eukaryotic",""
"115","Bacillariophyta","K00335",1458,"Afternoon",0.245471745696497,"Morning","Bacillariophyta_K00335","nuoF"," NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]","Oxidative phosphorylation","eukaryotic",""
"116","Bacillariophyta","K01457",2828,"Morning",0.0450112050126186,"Night","Bacillariophyta_K01457",NA,NA,NA,"eukaryotic",""
"117","Bacillariophyta","K00958",2703,"Morning",0.341088968421526,"Afternoon","Bacillariophyta_K00958","sat, met3"," sulfate adenylyltransferase [EC:2.7.7.4]","Purine metabolism","eukaryotic",""
"118","Bacillariophyta","K01899",4005,"Dusk",0.351255362916677,"Afternoon","Bacillariophyta_K01899",NA,NA,NA,"eukaryotic",""
"119","Bacillariophyta","K06677",86,"Night",0.165175963301813,"Morning","Bacillariophyta_K06677",NA,NA,NA,"eukaryotic",""
"120","Bacillariophyta","K01602",2789,"Morning",0.149830912161768,"Night","Bacillariophyta_K01602","rbcS"," ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]","Carbon fixation in photosynthetic organisms","eukaryotic",""
"121","Bacillariophyta","K00927",2622,"Morning",0.20846128578099,"Afternoon","Bacillariophyta_K00927","PGK, pgk"," phosphoglycerate kinase [EC:2.7.2.3]","Glycolysis / Gluconeogenesis","eukaryotic",""
"122","Bacillariophyta","K03031",1551,"Afternoon",0.237111526524809,"Morning","Bacillariophyta_K03031",NA,NA,NA,"eukaryotic",""
"123","Bacillariophyta","K01823",2716,"Morning",0.264863389936244,"Afternoon","Bacillariophyta_K01823","idi, IDI"," isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]","Terpenoid backbone biosynthesis","eukaryotic",""
"124","Bacillariophyta","K01467",2823,"Morning",0.274460494470205,"Afternoon","Bacillariophyta_K01467",NA,NA,NA,"eukaryotic",""
"125","Bacillariophyta","K00015",2680,"Morning",0.0890789452035011,"Afternoon","Bacillariophyta_K00015","gyaR, GOR1"," glyoxylate reductase [EC:1.1.1.26]","Glyoxylate and dicarboxylate metabolism","eukaryotic",""
"126","Bacillariophyta","K00161",2626,"Morning",0.333282768326678,"Afternoon","Bacillariophyta_K00161","PDHA, pdhA"," pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]","Glycolysis / Gluconeogenesis","eukaryotic",""
"127","Bacillariophyta","K00022",2686,"Morning",0.0853869728983532,"Afternoon","Bacillariophyta_K00022",NA,NA,NA,"eukaryotic",""
"128","Bacillariophyta","K02985",3983,"Dusk",0.139244017294041,"Night","Bacillariophyta_K02985",NA,NA,NA,"eukaryotic",""
"129","Bacillariophyta","K03510",4010,"Dusk",0.155945085498967,"Afternoon","Bacillariophyta_K03510",NA,NA,NA,"eukaryotic",""
"130","Bacillariophyta","K03163",99,"Night",0.131149987770431,"Morning","Bacillariophyta_K03163",NA,NA,NA,"eukaryotic",""
"131","Bacillariophyta","K03768",3974,"Dusk",0.264162135358197,"Afternoon","Bacillariophyta_K03768","PPIB, ppiB"," peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]","[]","eukaryotic",""
"132","Bacillariophyta","K05607",2690,"Morning",0.0985150865846753,"Afternoon","Bacillariophyta_K05607",NA,NA,NA,"eukaryotic",""
"133","Bacillariophyta","K11094",1543,"Afternoon",0.222508740975595,"Morning","Bacillariophyta_K11094",NA,NA,NA,"eukaryotic",""
"134","Bacillariophyta","K07375",3979,"Dusk",0.35200883221211,"Afternoon","Bacillariophyta_K07375","TUBB"," tubulin beta","Phagosome","eukaryotic",""
"135","Bacillariophyta","K00382",1476,"Afternoon",0.0401318387356861,"Morning","Bacillariophyta_K00382","DLD, lpd, pdhD"," dihydrolipoamide dehydrogenase [EC:1.8.1.4]","Glycolysis / Gluconeogenesis","eukaryotic",""
"136","Bacillariophyta","K17360",4046,"Dusk",0.201955249794353,"Afternoon","Bacillariophyta_K17360",NA,NA,NA,"eukaryotic",""
"137","Bacillariophyta","K14208",132,"Night",0.170996758697673,"Morning","Bacillariophyta_K14208",NA,NA,NA,"eukaryotic",""
"138","Bacillariophyta","K02988",4028,"Dusk",0.251687450107739,"Night","Bacillariophyta_K02988","RP-S5, MRPS5, rpsE"," small subunit ribosomal protein S5","Ribosome","eukaryotic",""
"139","Bacillariophyta","K08908",2728,"Morning",0.108763746804554,"Afternoon","Bacillariophyta_K08908",NA,NA,NA,"eukaryotic",""
"140","Bacillariophyta","K15443",1561,"Afternoon",0.00033092144070041,"Dusk","Bacillariophyta_K15443",NA,NA,NA,"eukaryotic",""
"141","Bacillariophyta","K11642",87,"Night",0.239635403421498,"Morning","Bacillariophyta_K11642",NA,NA,NA,"eukaryotic",""
"142","Bacillariophyta","K06580",2811,"Morning",0.263141566246139,"Night","Bacillariophyta_K06580",NA,NA,NA,"eukaryotic",""
"143","Bacillariophyta","K09521",2744,"Morning",0.0922343269203424,"Afternoon","Bacillariophyta_K09521",NA,NA,NA,"eukaryotic",""
"144","Bacillariophyta","K11809",4032,"Dusk",0.260150602489514,"Afternoon","Bacillariophyta_K11809",NA,NA,NA,"eukaryotic",""
"145","Bacillariophyta","K09647",2710,"Morning",0.334550847514903,"Afternoon","Bacillariophyta_K09647",NA,NA,NA,"eukaryotic",""
"146","Bacillariophyta","K10686",1494,"Afternoon",0.0713237864405426,"Morning","Bacillariophyta_K10686",NA,NA,NA,"eukaryotic",""
"147","Bacillariophyta","K10703",1477,"Afternoon",0.155169452731543,"Dusk","Bacillariophyta_K10703",NA,NA,NA,"eukaryotic",""
"148","Bacillariophyta","K04127",1571,"Afternoon",0.0719874704790338,"Morning","Bacillariophyta_K04127",NA,NA,NA,"eukaryotic",""
"149","Bacillariophyta","K15511",2803,"Morning",0.163016696905699,"Afternoon","Bacillariophyta_K15511",NA,NA,NA,"eukaryotic",""
"150","Bacillariophyta","K00833",2747,"Morning",0.16414169519621,"Afternoon","Bacillariophyta_K00833",NA,NA,NA,"eukaryotic",""
"151","Bacillariophyta","K04538",188,"Night",0.128863447741467,"Morning","Bacillariophyta_K04538",NA,NA,NA,"eukaryotic",""
"152","Bacillariophyta","K12339",4015,"Dusk",0.132204020828042,"Afternoon","Bacillariophyta_K12339",NA,NA,NA,"eukaryotic",""
"153","Bacillariophyta","K03638",171,"Night",0.159729870254972,"Morning","Bacillariophyta_K03638",NA,NA,NA,"eukaryotic",""
"154","Bacillariophyta","K10558",170,"Night",0.276377678967393,"Morning","Bacillariophyta_K10558",NA,NA,NA,"eukaryotic",""
"155","Bacillariophyta","K11065",4051,"Dusk",0.0697536900369204,"Afternoon","Bacillariophyta_K11065",NA,NA,NA,"eukaryotic",""
"156","Bacillariophyta","K00274",2725,"Morning",0.191417450190831,"Night","Bacillariophyta_K00274",NA,NA,NA,"eukaryotic",""
"157","Bacillariophyta","K15632",3998,"Dusk",0.248662613382067,"Night","Bacillariophyta_K15632",NA,NA,NA,"eukaryotic",""
"158","Bacillariophyta","K08169",192,"Night",0.235375374248297,"Dusk","Bacillariophyta_K08169",NA,NA,NA,"eukaryotic",""
"159","Bacillariophyta","K09616",183,"Night",0.17255727654344,"Morning","Bacillariophyta_K09616",NA,NA,NA,"eukaryotic",""
"160","Bacillariophyta","K17796",2640,"Morning",0.284161830362576,"Afternoon","Bacillariophyta_K17796",NA,NA,NA,"eukaryotic",""
"161","Bacillariophyta","K04037",1569,"Afternoon",0.144904148607978,"Morning","Bacillariophyta_K04037","chlL"," light-independent protochlorophyllide reductase subunit L [EC:1.3.7.7]","Porphyrin and chlorophyll metabolism","eukaryotic",""
"162","Bacillariophyta","K01236",184,"Night",0.193188288171469,"Morning","Bacillariophyta_K01236",NA,NA,NA,"eukaryotic",""
"163","Bacillariophyta","K07399",1553,"Afternoon",0.181253948363234,"Morning","Bacillariophyta_K07399","resB, ccs1"," cytochrome c biogenesis protein","Oxidative phosphorylation","eukaryotic",""
"164","Bacillariophyta","K03243",93,"Night",0.13381892645243,"Morning","Bacillariophyta_K03243",NA,NA,NA,"eukaryotic",""
"165","Bacillariophyta","K00390",2657,"Morning",0.0529231808881729,"Afternoon","Bacillariophyta_K00390","cysH"," phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","Sulfur metabolism","eukaryotic",""
"166","Bacillariophyta","K03147",4014,"Dusk",0.168132019453836,"Night","Bacillariophyta_K03147","thiC"," phosphomethylpyrimidine synthase [EC:4.1.99.17]","Thiamine metabolism","eukaryotic",""
